pre_id,w,slnc50_none,slnc50_pair,slnc50_quint,is_grn,is_relay,is_brake,drive_slnc50_none,drive_slnc50_pair,drive_slnc50_quint
720575940624986300,-96,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940625002936,-63,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940625164176,-5,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940625620888,-3,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940625863728,3,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940625867056,1,6.7,7.0,7.5,False,False,False,6.7,7.0,7.5
720575940626038714,6,2.1,0.8,0.4,False,False,False,12.600000000000001,4.800000000000001,2.4000000000000004
720575940626109982,43,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940626179614,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940626229849,120,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940626279486,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940626672058,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940626860421,-10,0.1,0.2,0.2,False,False,False,-1.0,-2.0,-2.0
720575940626960536,-39,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940626961241,-185,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940627015196,-63,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940627107721,2,0.0,0.3,0.3,False,False,False,0.0,0.6,0.6
720575940627234069,-9,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940627366675,-2,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940627410451,1,7.9,2.8,1.5,False,False,False,7.9,2.8,1.5
720575940627739023,2,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940627779983,1,2.6,0.5,0.2,False,False,False,2.6,0.5,0.2
720575940627814728,4,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940627819151,-2,3.7,1.6,0.7,False,False,False,-7.4,-3.2,-1.4
720575940627827697,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940627847752,74,8.8,1.3,0.4,False,False,False,651.2,96.2,29.6
720575940628209680,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940628659049,5,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940628746690,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940628762471,-4,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940628826128,-1,9.3,3.9,1.7,False,False,False,-9.3,-3.9,-1.7
720575940628997123,-1,6.9,4.1,2.9,False,False,False,-6.9,-4.1,-2.9
720575940629373890,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940629398466,-2,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940629486075,6,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940629561347,2,4.2,1.8,0.9,False,False,False,8.4,3.6,1.8
720575940629564688,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940629744599,6,0.2,0.8,0.7,False,False,False,1.2000000000000002,4.800000000000001,4.199999999999999
720575940629773276,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940629804158,-2,0.3,0.2,0.7,False,False,False,-0.6,-0.4,-1.4
720575940629854914,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940629946951,-44,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940630122796,4,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940630181852,-7,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940630246460,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940630307639,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940630480348,-4,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940630679801,-29,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940630820919,4,5.5,1.8,0.3,False,False,False,22.0,7.2,1.2
720575940631349335,1,8.2,8.0,8.5,False,False,False,8.2,8.0,8.5
720575940631365089,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940631417057,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940631429707,106,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940631662648,1,1.8,0.2,0.0,False,False,False,1.8,0.2,0.0
720575940631918649,-4,15.4,6.2,1.9,False,False,False,-61.6,-24.8,-7.6
720575940631994728,-1,0.0,0.0,0.1,False,False,False,-0.0,-0.0,-0.1
720575940632030008,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940632126412,-44,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940632252743,281,11.8,6.6,3.9,False,False,False,3315.8,1854.6,1095.8999999999999
720575940632365905,1,2.3,1.6,0.0,False,False,False,2.3,1.6,0.0
720575940632486969,2,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940632722636,-29,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940632726220,-100,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940632815780,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940632847661,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940632974443,2,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940633316307,146,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940633373651,2,0.0,0.0,0.1,False,False,False,0.0,0.0,0.2
720575940633416604,4,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940633488153,8,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940633762714,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940633796252,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940634428058,-3,0.5,0.2,0.0,False,False,False,-1.5,-0.6000000000000001,-0.0
720575940634459290,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940635164779,-2,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940635462757,2,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940635596212,-39,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940636029807,-2,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940636053678,-4,26.3,11.0,11.7,False,False,False,-105.2,-44.0,-46.8
720575940636552805,92,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940636649061,-2,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940636809646,-448,3.3,1.2,0.0,False,False,False,-1478.3999999999999,-537.6,-0.0
720575940637144944,2,2.3,2.7,3.9,False,False,False,4.6,5.4,7.8
720575940637530084,4,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940637656286,4,0.0,0.1,0.1,False,False,False,0.0,0.4,0.4
720575940638001498,2,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940638810677,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940638989894,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940639769715,-10,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940639830179,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940640096976,-5,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940640162944,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940640407923,-14,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940641281013,-257,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940643867296,-10,5.6,5.9,5.8,False,False,False,-56.0,-59.0,-58.0
720575940644022551,5,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940644653348,-7,6.5,2.0,0.5,False,False,False,-45.5,-14.0,-3.5
720575940644995950,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940645528430,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940645556334,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940647010356,-48,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940647023156,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940647031860,-2,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940649829241,-173,4.7,1.0,0.3,False,False,False,-813.1,-173.0,-51.9
720575940660219521,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940660233601,-42,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
